"year","sex","age","height","weight","bmi","education","citizenship","country"
2015,1,9,178.22,74.39,23.42,"Primary","ES citizen","ES"
1953,0,69,135.34,67.95,37.1,"Only primary","ES citizen","ES"
1974,1,54,174.68,69.13,22.66,"Higher","ES citizen","ES"
1961,0,34,161.2,74.29,28.59,"Only secondary","ES citizen","ES"
1930,1,27,172.06,60.16,20.32,"Only kindergarten","non-ES citizen","ES"
1973,0,4,162.57,75.96,28.74,"Kindergarten","ES citizen","ES"
2024,0,70,164.77,73.23,26.97,"Only primary","ES citizen","ES"
1960,0,86,157.52,63.53,25.6,"Higher","ES citizen","ES"
1955,0,19,164.23,69.54,25.78,"Only primary","ES citizen","ES"
1925,0,54,164.9,86.13,31.67,"Higher","ES citizen","ES"
1981,0,45,162.32,75.91,28.81,"Only secondary","ES citizen","ES"
2022,0,33,153.28,75.25,32.03,"Only primary","ES citizen","ES"
1948,1,54,179.8,74.25,22.97,"Only secondary","ES citizen","ES"
2021,0,81,151.01,66.03,28.96,"Only primary","ES citizen","ES"
1933,0,38,163.13,61.31,23.04,"Only kindergarten","ES citizen","ES"
1967,0,7,155.96,80.08,32.92,"None","ES citizen","ES"
2022,0,19,167.84,84.05,29.84,"Higher","ES citizen","ES"
1929,1,38,167.49,70,24.95,"Only secondary","ES citizen","ES"
1943,0,94,162.11,88.72,33.76,"Only primary","ES citizen","ES"
2011,1,28,179.44,83.6,25.96,"Only secondary","ES citizen","ES"
1959,1,2,193.93,76.48,20.34,"None","ES citizen","ES"
1974,0,5,160.13,90.83,35.42,"Kindergarten","ES citizen","ES"
1985,0,3,161.13,80.93,31.17,"Kindergarten","ES citizen","ES"
1928,1,12,171.39,87.79,29.89,"Secondary","ES citizen","ES"
2016,0,60,164.74,78.56,28.95,"Only secondary","ES citizen","ES"
1965,0,16,160.85,77.04,29.78,"Secondary","ES citizen","ES"
1960,0,32,178.86,80.94,25.3,"Higher","ES citizen","ES"
1936,1,85,160.12,85.84,33.48,"Only kindergarten","ES citizen","ES"
1931,1,38,181.25,51.69,15.73,"Only kindergarten","ES citizen","ES"
1985,1,74,178.78,65.8,20.59,"Higher","ES citizen","ES"
2007,0,96,156.35,73.41,30.03,"Only secondary","ES citizen","ES"
1998,0,24,148.35,74.68,33.93,"Only secondary","non-ES citizen","ES"
1945,0,57,155.06,74.04,30.79,"Only primary","ES citizen","ES"
1991,1,19,178.73,72.84,22.8,"Only secondary","ES citizen","ES"
1947,1,6,174.63,65.99,21.64,"None","ES citizen","ES"
1952,0,72,151.72,69.2,30.06,"Higher","ES citizen","ES"
2001,1,53,172.07,46.57,15.73,"Only secondary","ES citizen","ES"
1927,1,82,183.25,56.71,16.89,"Higher","ES citizen","ES"
1950,0,54,163.94,79.94,29.74,"Higher","ES citizen","ES"
1998,1,51,185.4,73.01,21.24,"Higher","ES citizen","ES"
1974,0,64,162.62,75.49,28.55,"Higher","ES citizen","ES"
1999,1,16,171.69,70.09,23.78,"Secondary","ES citizen","ES"
2023,1,29,173.64,60.59,20.1,"Higher","ES citizen","ES"
2001,0,98,159.44,66.86,26.3,"Higher","ES citizen","ES"
2010,1,73,172.82,73.32,24.55,"Higher","ES citizen","ES"
1965,1,86,189.98,94.62,26.22,"Only secondary","ES citizen","ES"
1929,1,69,170.01,76.86,26.59,"Higher","ES citizen","ES"
2013,1,85,176.08,70.71,22.81,"Higher","ES citizen","ES"
1934,0,80,162.11,96.16,36.59,"Higher","ES citizen","ES"
2022,1,55,168.41,73.15,25.79,"Only secondary","non-ES citizen","ES"
1956,0,88,164.4,72.85,26.95,"Only primary","ES citizen","ES"
1992,0,77,157.18,72.2,29.22,"Only secondary","ES citizen","ES"
1966,0,4,163.45,86.09,32.22,"Kindergarten","ES citizen","ES"
1985,0,17,168.15,79.85,28.24,"Secondary","ES citizen","ES"
1994,0,91,171.22,93.05,31.74,"Only secondary","ES citizen","ES"
1972,0,64,172.12,81.98,27.67,"Higher","ES citizen","ES"
1935,0,56,168.32,80.34,28.36,"Only kindergarten","ES citizen","ES"
2015,0,9,167.77,91.22,32.41,"Primary","ES citizen","ES"
1932,0,49,172.16,68.22,23.02,"Only primary","non-ES citizen","ES"
2023,1,91,174.25,72.24,23.79,"Only secondary","ES citizen","ES"
1969,1,74,189.76,62.57,17.38,"Higher","ES citizen","ES"
1959,1,21,158.68,71.24,28.29,"Only primary","ES citizen","ES"
2023,1,21,174.12,71.84,23.7,"Only primary","ES citizen","ES"
1990,0,73,163.89,49.74,18.52,"Higher","non-ES citizen","ES"
2018,1,60,160.65,85.22,33.02,"Only secondary","ES citizen","ES"
1932,1,9,167.33,57.02,20.36,"Primary","ES citizen","ES"
2008,1,93,175.78,81.44,26.36,"Only secondary","ES citizen","ES"
2005,0,66,156.42,78.49,32.08,"Higher","ES citizen","ES"
1962,0,53,159.21,89.46,35.29,"Higher","ES citizen","ES"
1976,0,90,155.92,70.92,29.17,"Only kindergarten","ES citizen","ES"
1925,0,23,164.38,80.47,29.78,"Higher","ES citizen","ES"
1976,1,94,172.79,50.24,16.83,"Only kindergarten","ES citizen","ES"
1998,1,24,166.84,52.73,18.94,"Higher","ES citizen","ES"
1973,0,18,163.24,80.76,30.31,"None","ES citizen","ES"
1946,1,67,176.3,73.44,23.63,"Only primary","ES citizen","ES"
1942,0,44,162.16,85.13,32.37,"Only secondary","ES citizen","ES"
2009,1,22,167.25,69.09,24.7,"Only primary","ES citizen","ES"
1960,1,31,177.16,65.81,20.97,"Only secondary","non-ES citizen","ES"
1925,1,44,159.87,59.4,23.24,"Only kindergarten","ES citizen","ES"
1932,0,62,157.09,77.6,31.45,"Only secondary","ES citizen","ES"
1937,1,29,169.79,69.78,24.21,"Only secondary","ES citizen","ES"
1988,0,75,150.09,64.34,28.56,"Only secondary","non-ES citizen","ES"
1992,1,93,170.43,54.05,18.61,"Only kindergarten","ES citizen","ES"
2006,0,49,168.07,83.82,29.67,"Higher","ES citizen","ES"
1952,0,43,154.74,82.94,34.64,"Only primary","ES citizen","ES"
1942,0,89,166.64,75.4,27.15,"Only secondary","ES citizen","ES"
1981,1,24,177.88,56.98,18.01,"Higher","ES citizen","ES"
1955,1,5,179.8,76.06,23.53,"Kindergarten","ES citizen","ES"
1955,0,47,144.67,90.39,43.19,"Higher","ES citizen","ES"
2018,1,14,172.62,63.87,21.43,"Secondary","ES citizen","ES"
2006,0,5,169.25,71.34,24.9,"Kindergarten","ES citizen","ES"
1978,1,50,172.25,75.68,25.51,"Only kindergarten","ES citizen","ES"
2007,0,36,156.33,67.63,27.67,"Higher","non-ES citizen","ES"
1962,0,86,180.8,84.64,25.89,"Only kindergarten","ES citizen","ES"
1993,1,89,176.94,63.94,20.42,"Higher","ES citizen","ES"
1960,1,51,174.98,67.68,22.1,"Only kindergarten","ES citizen","ES"
1940,1,26,166.3,60.74,21.96,"Only primary","ES citizen","ES"
2007,1,74,159.18,49.76,19.64,"Only secondary","non-ES citizen","ES"
1990,0,16,158.22,81.58,32.59,"Secondary","ES citizen","ES"
1954,0,59,162.58,72.77,27.53,"Higher","ES citizen","ES"
1927,0,5,161.34,83.02,31.89,"Kindergarten","ES citizen","ES"
1963,1,68,179.87,64.86,20.05,"Higher","non-ES citizen","ES"
1981,0,95,168,73.28,25.96,"Only secondary","ES citizen","ES"
1947,0,53,157.06,84.52,34.26,"Only primary","non-ES citizen","ES"
2005,0,55,152.54,52.86,22.72,"Only secondary","ES citizen","ES"
1981,1,91,174.61,62.94,20.64,"Only primary","ES citizen","ES"
2007,1,75,170.76,47.4,16.26,"Only secondary","non-ES citizen","ES"
1944,1,97,180.62,61.52,18.86,"Higher","ES citizen","ES"
1944,1,77,181.55,87.67,26.6,"Higher","ES citizen","ES"
1992,0,26,163.83,79.02,29.44,"Higher","ES citizen","ES"
1968,0,47,155.07,92.37,38.41,"Only primary","ES citizen","ES"
1961,0,48,167.35,71.56,25.55,"Only secondary","ES citizen","ES"
1976,0,38,163.99,72.45,26.94,"Only secondary","non-ES citizen","ES"
1945,1,82,176.12,67.37,21.72,"Only kindergarten","ES citizen","ES"
1937,1,11,186.42,78.23,22.51,"Primary","ES citizen","ES"
1990,0,83,151.26,71.74,31.36,"Only secondary","ES citizen","ES"
2003,1,75,165.98,67.46,24.49,"Only kindergarten","ES citizen","ES"
1933,1,13,165.04,49.18,18.06,"Secondary","ES citizen","ES"
1959,1,91,164.75,69.41,25.57,"Only secondary","ES citizen","ES"
1964,1,37,177.28,65.94,20.98,"Higher","ES citizen","ES"
1929,0,86,171.92,88.76,30.03,"Higher","ES citizen","ES"
1943,0,65,156.44,63.6,25.99,"Only secondary","ES citizen","ES"
2019,0,47,156.19,65.02,26.65,"Higher","non-ES citizen","ES"
1989,0,89,161.45,88.34,33.89,"Higher","ES citizen","ES"
1930,1,93,166.72,65.64,23.62,"Higher","ES citizen","ES"
2007,1,98,168.68,51.82,18.21,"Higher","ES citizen","ES"
1944,1,71,179.99,50.55,15.6,"Only secondary","non-ES citizen","ES"
1936,0,89,163.35,75.98,28.47,"Only secondary","ES citizen","ES"
1943,0,71,169.29,69.75,24.34,"Higher","ES citizen","ES"
1925,1,70,173.75,67.33,22.3,"Only secondary","ES citizen","ES"
1994,0,8,169.95,81.33,28.16,"Primary","ES citizen","ES"
1925,0,62,158.83,69.8,27.67,"Higher","ES citizen","ES"
1960,0,75,164.87,80,29.43,"Only secondary","ES citizen","ES"
1967,1,46,175.66,39.57,12.82,"Higher","ES citizen","ES"
1965,1,80,177.68,85.47,27.07,"Only secondary","ES citizen","ES"
2015,1,48,170.58,61.3,21.07,"Higher","non-ES citizen","ES"
2002,1,29,175.51,71.59,23.24,"Only kindergarten","ES citizen","ES"
1939,0,73,150.65,64.57,28.45,"Higher","non-ES citizen","ES"
1993,0,100,170.12,71.59,24.74,"Only secondary","ES citizen","ES"
1970,1,73,184.22,81.03,23.88,"Only secondary","ES citizen","ES"
1945,0,94,155.61,75.36,31.12,"Only primary","ES citizen","ES"
1961,1,37,168.82,58.68,20.59,"Only primary","ES citizen","ES"
1936,0,97,152.14,80.49,34.77,"Only secondary","ES citizen","ES"
1928,0,84,174.91,90.02,29.42,"Higher","ES citizen","ES"
1997,1,35,174.4,58.82,19.34,"Higher","ES citizen","ES"
1955,1,79,163.45,53.74,20.12,"Only primary","ES citizen","ES"
1940,0,3,162.68,82.67,31.24,"Kindergarten","ES citizen","ES"
1968,1,27,178.69,77.64,24.32,"Only secondary","ES citizen","ES"
1967,0,83,160.1,86.38,33.7,"Higher","ES citizen","ES"
1947,0,30,163.62,65.23,24.37,"Only kindergarten","ES citizen","ES"
2022,0,49,159.7,84.8,33.25,"Only primary","ES citizen","ES"
1962,1,66,177.79,83.26,26.34,"Higher","ES citizen","ES"
1993,1,52,185.96,56.71,16.4,"Higher","ES citizen","ES"
1941,0,60,154.45,73.46,30.79,"Only secondary","ES citizen","ES"
2013,1,85,182.55,69.4,20.83,"Only secondary","ES citizen","ES"
1963,1,32,174.96,73.83,24.12,"Higher","non-ES citizen","ES"
2021,1,72,171.92,50.48,17.08,"Only primary","ES citizen","ES"
1964,0,9,167.86,74.26,26.35,"Primary","ES citizen","ES"
1981,0,8,169.34,78.59,27.41,"Primary","ES citizen","ES"
2008,1,5,175.04,55.68,18.17,"Kindergarten","ES citizen","ES"
1927,0,67,152.63,75.45,32.39,"Only secondary","ES citizen","ES"
1975,1,88,172.36,75.72,25.49,"Higher","ES citizen","ES"
1995,1,63,181.47,75.21,22.84,"Higher","ES citizen","ES"
1999,0,78,154.61,70.91,29.66,"Only secondary","ES citizen","ES"
2019,0,7,159.51,67.17,26.4,"Primary","non-ES citizen","ES"
1957,1,67,180.35,81,24.9,"Only secondary","ES citizen","ES"
2003,1,24,184.37,69.87,20.55,"Higher","ES citizen","ES"
1961,1,97,171.96,90.82,30.71,"Higher","ES citizen","ES"
1994,1,100,169.89,70.23,24.33,"Higher","ES citizen","ES"
2010,1,23,169.78,80.44,27.91,"Only primary","ES citizen","ES"
1991,0,94,163.51,75.04,28.07,"Higher","ES citizen","ES"
1934,0,38,153.31,80.87,34.41,"Higher","ES citizen","ES"
2021,1,56,176.98,67.35,21.5,"Only secondary","ES citizen","ES"
2009,1,24,183.31,82.6,24.58,"Higher","ES citizen","ES"
1933,1,27,175.12,75.22,24.53,"Only primary","ES citizen","ES"
1941,0,97,153.52,91.6,38.87,"Higher","ES citizen","ES"
1963,1,78,162.9,72.49,27.32,"Only secondary","non-ES citizen","ES"
1979,0,83,157.93,76.97,30.86,"Only primary","ES citizen","ES"
1981,0,49,166.92,59.37,21.31,"Higher","ES citizen","ES"
2008,0,37,158.32,88.44,35.28,"Only kindergarten","ES citizen","ES"
1974,1,31,175.39,51.65,16.79,"Only kindergarten","ES citizen","ES"
1968,0,43,159.65,81.13,31.83,"Only primary","ES citizen","ES"
2010,1,86,177.72,54.39,17.22,"Higher","non-ES citizen","ES"
1991,0,39,170.15,82.77,28.59,"Only secondary","ES citizen","ES"
1942,0,85,168.02,70.63,25.02,"Only primary","ES citizen","ES"
2015,1,33,170.12,69.57,24.04,"Higher","ES citizen","ES"
1928,0,100,161.49,74.34,28.51,"Only primary","ES citizen","ES"
2025,1,69,185.19,50.75,14.8,"Only secondary","ES citizen","ES"
1941,1,83,171.46,59.52,20.25,"Higher","ES citizen","ES"
1972,0,16,164.11,87.58,32.52,"Secondary","non-ES citizen","ES"
1992,1,92,180.87,75.82,23.18,"Only secondary","ES citizen","ES"
2004,1,52,180.78,68.85,21.07,"Only primary","ES citizen","ES"
1953,0,41,160.7,78.26,30.3,"Higher","ES citizen","ES"
2006,1,76,172.19,54.21,18.28,"Only secondary","ES citizen","ES"
1933,0,56,167.81,71.41,25.36,"Higher","non-ES citizen","ES"
2019,1,96,174.09,74.78,24.67,"Only secondary","ES citizen","ES"
1966,0,10,160.84,83.91,32.44,"Primary","ES citizen","ES"
1966,1,3,164.71,73.87,27.23,"Kindergarten","ES citizen","ES"
1955,1,31,183.27,60.47,18,"Only kindergarten","ES citizen","ES"
1968,1,14,162.36,73.55,27.9,"None","ES citizen","ES"
1944,1,30,164.58,73.14,27,"Only secondary","ES citizen","ES"
1937,0,38,157.04,91.11,36.94,"Higher","ES citizen","ES"
1950,0,75,169.59,87.24,30.33,"Only primary","ES citizen","ES"
1941,1,40,174.77,79.16,25.92,"Higher","ES citizen","ES"
1956,1,82,180.86,70.03,21.41,"Only kindergarten","ES citizen","ES"
1985,1,61,169.29,66.53,23.21,"Only secondary","ES citizen","ES"
2004,0,75,154.21,82.61,34.74,"Higher","ES citizen","ES"
